round,train_loss,val_f1,val_precision,val_recall
1,0.348993,0.428954,0.820715,0.290355
2,0.224808,0.433272,0.894776,0.285842
3,0.216332,0.333301,0.944814,0.20234
4,0.212833,0.327766,0.948266,0.198123
5,0.211281,0.333725,0.954316,0.202221
6,0.21,0.308559,0.963551,0.183692
7,0.20894,0.278409,0.954767,0.162965
8,0.208216,0.295689,0.966458,0.174546
9,0.207721,0.289135,0.967219,0.169973
10,0.207023,0.295143,0.97309,0.173952
11,0.206616,0.281175,0.966841,0.164509
12,0.206635,0.279048,0.967913,0.163024
13,0.206052,0.274188,0.970748,0.159639
14,0.205766,0.247954,0.968447,0.142178
15,0.205602,0.262277,0.970722,0.151621
16,0.205323,0.251073,0.972745,0.144138
17,0.205154,0.256971,0.97193,0.148058
18,0.20499,0.248019,0.970409,0.142178
19,0.204862,0.271207,0.975359,0.157501
20,0.204724,0.249495,0.974121,0.143069
21,0.204604,0.231132,0.973545,0.131132
22,0.204457,0.261693,0.979207,0.151027
23,0.204385,0.244468,0.975539,0.139743
24,0.204317,0.228895,0.972829,0.129707
25,0.204491,0.227877,0.962832,0.129232
26,0.204598,0.248834,0.976016,0.142594
27,0.20435,0.234845,0.977807,0.133448
28,0.204174,0.263077,0.97561,0.152037
29,0.20409,0.238887,0.974904,0.136121
30,0.203982,0.250479,0.979344,0.143604
31,0.203911,0.268328,0.980885,0.155422
32,0.203941,0.276562,0.979761,0.161005
33,0.203892,0.270027,0.981385,0.156551
34,0.203732,0.241591,0.97973,0.137784
35,0.203747,0.254393,0.980478,0.146158
36,0.203679,0.264481,0.982436,0.152809
37,0.203602,0.259538,0.983972,0.149483
38,0.203568,0.26983,0.983196,0.156372
39,0.203517,0.248742,0.984394,0.142357
40,0.203476,0.258308,0.984658,0.148652
41,0.203436,0.259601,0.98321,0.149543
42,0.20343,0.258833,0.984308,0.149008
43,0.203335,0.231954,0.983126,0.131488
44,0.203313,0.262665,0.986466,0.151503
45,0.203282,0.251399,0.985378,0.144079
46,0.203298,0.294076,0.987441,0.172764
47,0.203294,0.259364,0.978996,0.149483
48,0.203333,0.248846,0.984805,0.142416
49,0.203237,0.237039,0.980562,0.134814
50,0.20331,0.254906,0.977039,0.146573
51,0.203252,0.249598,0.985662,0.142891
52,0.203164,0.254256,0.987143,0.14592
53,0.203125,0.251231,0.985767,0.14396
54,0.20311,0.281859,0.987513,0.16439
55,0.203073,0.267543,0.986001,0.154769
