seed,domain,oracle_f1,vocab_block_f1,conservative_f1,route_acc,n_unknown,vocab_block_eq_oracle,n_test
0,hdfs,0.537912,0.537912,0.000237,1.0,0,1,569479
0,bgl,0.118284,0.118284,0.118284,1.0,0,1,68874
1,hdfs,0.537491,0.537491,0.0,1.0,0,1,569479
1,bgl,0.008518,0.008518,0.008518,1.0,0,1,68874
2,hdfs,0.588573,0.588573,0.0,1.0,0,1,569479
2,bgl,0.028939,0.028939,0.028939,1.0,0,1,68874
3,hdfs,0.590488,0.590488,0.0,1.0,0,1,569479
3,bgl,0.001462,0.001462,0.001462,1.0,0,1,68874
4,hdfs,0.552421,0.552421,0.0,1.0,0,1,569479
4,bgl,0.008922,0.008922,0.008922,1.0,0,1,68874
