seed,domain,length_blind_f1,length_da_f1,length_da_vocabblock_f1,known_events_f1,route_acc,n_test
0,hdfs,0.000237,0.537912,0.537912,0.788515,1.0,569479
0,bgl,0.118284,0.118284,0.118284,0.984094,1.0,68874
0,openstack,0.0,0.0,0.0,0.0,1.0,1857
1,hdfs,0.0,0.537491,0.537491,0.528893,1.0,569479
1,bgl,0.008518,0.008518,0.008518,0.991248,1.0,68874
1,openstack,0.0,0.0,0.0,0.0,1.0,1857
2,hdfs,0.0,0.588573,0.588573,0.528409,1.0,569479
2,bgl,0.028939,0.028939,0.028939,0.990342,1.0,68874
2,openstack,0.0,0.0,0.0,0.0,1.0,1857
3,hdfs,0.0,0.590488,0.590488,0.527437,1.0,569479
3,bgl,0.001462,0.001462,0.001462,0.983447,1.0,68874
3,openstack,0.0,0.0,0.0,0.0,1.0,1857
4,hdfs,0.0,0.552421,0.552421,0.44468,1.0,569479
4,bgl,0.008922,0.008922,0.008922,0.983755,1.0,68874
4,openstack,0.0,0.0,0.0,0.0,1.0,1857
