seed,lambda,hdfs_before,hdfs_after,bgl_after,forgetting
0,0.0,0.703745,0.036706,0.653315,0.667039
0,100.0,0.703745,0.036706,0.654113,0.667039
0,10000.0,0.703745,0.037853,0.656409,0.665892
0,1000000.0,0.703745,0.132144,0.723421,0.571601
0,100000000.0,0.703745,0.682718,0.784781,0.021027
1,0.0,0.703721,0.036707,0.669464,0.667014
1,100.0,0.703721,0.036707,0.669464,0.667014
1,10000.0,0.703721,0.036718,0.665408,0.667003
1,1000000.0,0.703721,0.050844,0.608177,0.652877
1,100000000.0,0.703721,0.690855,0.678107,0.012866
2,0.0,0.703792,0.043638,0.604303,0.660154
2,100.0,0.703792,0.045113,0.62402,0.658679
2,10000.0,0.703792,0.058436,0.631067,0.645356
2,1000000.0,0.703792,0.45407,0.655948,0.249722
2,100000000.0,0.703792,0.695667,0.791618,0.008125
